id,id,clothtype,type,price,pricerate,weight,quality,level,material,occupation,condition1,condition2,stat1a,stat1b,stat2a,stat2b,defense,magicresistence,range,attackpower,attackspeed,itemgrade,name,icon,description,blue,union points
,199,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,12,3,13,4,,,,,,,Librarians Spectacles,2384,Tiny glasses worn to make yourself look smarter. They are far too small to be practical.,0,
,200,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,23,3,11,4,,,,,,,Rolf Glasses,2713,Glasses that make you look like a good friend of one of the GMs,0,
,201,1,113,1000,1,1,40,,,0|0|0,0|0,0|0,15,5,14,10,,,,,,,Moses Beard,10,You better run fast! The sea wont stay parted for long!,0,
,202,1,111,1000,1,1,40,,,0|0|0,0|0,0|0,10,5,15,3,,,,,,,Tribal War Mask,3048,Ooka Ooka!,0,
,204,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,13,5,14,12,,,,,,,Teacher Glasses,2386,These glasses help teachers concentrate when their students are running wild,0,
,205,1,112,1000,1,3,40,,,0|0|0,0|0,0|0,11,3,14,9,,,,,,,Nautilus Goggles,2385,Use these goggles when you are trying to find Atlantis,0,
,206,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,15,1,14,1,,,,,,,Identity Protector,3086,This will cover your eyes so people cant tell who you are. Only problem is that you cant see while using it.,0,
,207,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,12,3,13,4,,,,,,,Potter Glasses,3089,Watch out for Voldemort!,0,
,208,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,24,10,14,5,,,,,,,Rose Tinted Glasses,2386,Red rimmed glasses with rose tinted lens.,0,
,209,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,23,5,14,10,,,,,,,Pink Sunglasses,2386,Sunglasses with pale pink rims.,0,
,210,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,18,8,14,9,,,,,,,See No Evil Mask,2466,This mask will make evil things invisible to you. Only the eyes are closed so you cannot see anything else either.,0,
,211,1,111,1000,1,1,40,,,0|0|0,0|0,0|0,10,3,14,5,,,,,,,Pink Germ Mask,3117,A sparkly mask that will stop pink germs. This is the only known protection against hepititis X.,0,
,212,1,111,1000,1,1,40,,,0|0|0,0|0,0|0,12,3,14,5,,,,,,,Blue Germ Mask,3117,A sparkly mask that will stop blue germs. Problem being that there are no blue germs so this mask is useless.,0,
,213,1,111,200,1,1,30,,,0|0|0,0|0,0|0,,,14,5,,,,,,,Germ Mask,1,This will stop any germs except for hepititis Q.,0,
,214,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,15,6,14,2,,,,,,,Polka Dot Sleep Mask,3120,Zzzzzzzzzz……,0,
,215,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,15,5,14,10,,,,,,,Half-Rim Glasses,2386,These glasses have no top rim!,0,
,216,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,13,6,24,10,,,,,,,Medical Eyepatch,3129,Thought to protect against hepititis Q. However this is not yet proven.,0,
,217,1,111,1000,1,2,40,,,0|0|0,0|0,0|0,18,10,,,,,,,,,Gold Scream Mask,2372,This gold plated scream mask is thought to ward off evil.,0,
,218,1,111,1000,1,2,40,,,0|0|0,0|0,0|0,19,20,,,,,,,,,Silver Scream Mask,2372,This silver plated scream mask is thought to ward off evil.,0,
,219,1,111,1000,1,2,40,,,0|0|0,0|0,0|0,18,5,19,5,,,,,,,Metal Half-Face,3153,This strange mask covers only the bottom half of your face.,0,
,301,1,111,1000,,1,30,,,0|0|0,0|0,0|0,,,,,,,,,,,Flu Mask,1,Medical mask with an X mark on it that protects its wearer from contagious airborne diseases.,11,
,302,1,111,1000,,1,30,,,0|0|0,0|0,0|0,24,5,,,,,,,,,Flu Mask,1,Medical mask with an X mark on it that protects its wearer from contagious airborne diseases.,11,
,303,1,111,1000,,1,30,,,0|0|0,0|0,0|0,38,50,,,,,,,,,Flu Mask,1,Medical mask with an X mark on it that protects its wearer from contagious airborne diseases.,11,
,304,1,111,1000,,1,30,,,0|0|0,0|0,0|0,,,,,,,,,,,Flu Mask,1,Medical mask with an X mark on it that protects its wearer from contagious airborne diseases.,11,
,305,1,111,1000,,1,30,,,0|0|0,0|0,0|0,39,25,,,,,,,,,Flu Mask,1,Medical mask with an X mark on it that protects its wearer from contagious airborne diseases.,11,
,306,1,111,1000,,1,30,,,0|0|0,0|0,0|0,,,,,,,,,,,Flu Mask,1,Medical mask with an X mark on it that protects its wearer from contagious airborne diseases.,11,
,307,1,111,1000,,1,30,,,0|0|0,31|70,0|0,21,25,,,,,,,,,Flu Mask,1,Medical mask with an X mark on it that protects its wearer from contagious airborne diseases.,11,
,308,1,111,1000,,1,30,,,0|0|0,0|0,0|0,19,5,,,,,,,,,Flu Mask,1,Medical mask with an X mark on it that protects its wearer from contagious airborne diseases.,11,
,311,1,111,1100,,1,31,,,0|0|0,0|0,0|0,,,,,,,,,,,Black Mask,2,A black mask that covers half of the face.,11,
,312,1,111,1100,,1,31,,,0|0|0,0|0,0|0,24,5,,,,,,,,,Black Mask,2,A black mask that covers half of the face.,11,
,313,1,111,1100,,1,31,,,0|0|0,0|0,0|0,38,75,,,,,,,,,Black Mask,2,A black mask that covers half of the face.,11,
,314,1,111,1100,,1,31,,,0|0|0,31|70,0|0,22,10,21,15,,,,,,,Black Mask,2,A black mask that covers half of the face.,11,
,315,1,111,1100,,1,31,,,0|0|0,0|0,0|0,39,25,,,,,,,,,Black Mask,2,A black mask that covers half of the face.,11,
,316,1,111,1100,,1,31,,,0|0|0,0|0,0|0,,,,,,,,,,,Black Mask,2,A black mask that covers half of the face.,11,
,317,1,111,1100,,1,31,,,0|0|0,0|0,0|0,,,,,,,,,,,Black Mask,2,A black mask that covers half of the face.,11,
,318,1,111,1100,,1,31,,,0|0|0,0|0,0|0,19,6,,,,,,,,,Black Mask,2,A black mask that covers half of the face.,11,
,321,1,111,1200,,2,32,,,0|0|0,0|0,0|0,,,,,,,,,,,ButterFly Mask,3,A splendid mask that seems to be worn in masquerades.,11,
,322,1,111,1200,,2,32,,,0|0|0,0|0,0|0,24,6,,,,,,,,,ButterFly Mask,3,A splendid mask that seems to be worn in masquerades.,11,
,323,1,111,1200,,2,32,,,0|0|0,0|0,0|0,38,100,,,,,,,,,ButterFly Mask,3,A splendid mask that seems to be worn in masquerades.,11,
,324,1,111,1200,,2,32,,,0|0|0,31|70,0|0,22,10,23,15,,,,,,,ButterFly Mask,3,A splendid mask that seems to be worn in masquerades.,11,
,325,1,111,1200,,2,32,,,0|0|0,0|0,0|0,39,50,,,,,,,,,ButterFly Mask,3,A splendid mask that seems to be worn in masquerades.,11,
,326,1,111,1200,,2,32,,,0|0|0,0|0,0|0,,,,,,,,,,,ButterFly Mask,3,A splendid mask that seems to be worn in masquerades.,11,
,327,1,111,1200,,2,32,,,0|0|0,0|0,0|0,,,,,,,,,,,ButterFly Mask,3,A splendid mask that seems to be worn in masquerades.,11,
,328,1,111,1200,,2,32,,,0|0|0,0|0,0|0,19,7,,,,,,,,,ButterFly Mask,3,A splendid mask that seems to be worn in masquerades.,11,
,331,1,111,1300,,1,33,,,0|0|0,0|0,0|0,,,,,,,,,,,Zorro Mask,4,A mask that served as the symbol of a chivalrous thief. Its wearer is compelled to perform acts of righteousness.,11,
,332,1,111,1300,,1,33,,,0|0|0,0|0,0|0,24,6,,,,,,,,,Zorro Mask,4,A mask that served as the symbol of a chivalrous thief. Its wearer is compelled to perform acts of righteousness.,11,
,333,1,111,1300,,1,33,,,0|0|0,0|0,0|0,38,125,,,,,,,,,Zorro Mask,4,A mask that served as the symbol of a chivalrous thief. Its wearer is compelled to perform acts of righteousness.,11,
,334,1,111,1300,,1,33,,,0|0|0,31|70,0|0,11,5,,,,,,,,,Zorro Mask,4,A mask that served as the symbol of a chivalrous thief. Its wearer is compelled to perform acts of righteousness.,11,
,335,1,111,1300,,1,33,,,0|0|0,0|0,0|0,39,50,,,,,,,,,Zorro Mask,4,A mask that served as the symbol of a chivalrous thief. Its wearer is compelled to perform acts of righteousness.,11,
,336,1,111,1300,,1,33,,,0|0|0,0|0,0|0,,,,,,,,,,,Zorro Mask,4,A mask that served as the symbol of a chivalrous thief. Its wearer is compelled to perform acts of righteousness.,11,
,337,1,111,1300,,1,33,,,0|0|0,0|0,0|0,,,,,,,,,,,Zorro Mask,4,A mask that served as the symbol of a chivalrous thief. Its wearer is compelled to perform acts of righteousness.,11,
,338,1,111,1300,,1,33,,,0|0|0,0|0,0|0,19,8,,,,,,,,,Zorro Mask,4,A mask that served as the symbol of a chivalrous thief. Its wearer is compelled to perform acts of righteousness.,11,
,341,1,111,1300,,1,34,,,0|0|0,31|70,0|0,12,5,,,,,,,,,Persian Mask ,5,A silken mask that evokes a mysterious feeling.,11,
,342,1,111,1300,,1,34,,,0|0|0,0|0,0|0,24,6,,,,,,,,,Persian Mask ,5,A silken mask that evokes a mysterious feeling.,11,
,343,1,111,1300,,1,34,,,0|0|0,0|0,0|0,38,150,,,,,,,,,Persian Mask ,5,A silken mask that evokes a mysterious feeling.,11,
,344,1,111,1300,,1,34,,,0|0|0,0|0,0|0,22,5,,,,,,,,,Persian Mask ,5,A silken mask that evokes a mysterious feeling.,11,
,345,1,111,1300,,1,34,,,0|0|0,0|0,0|0,39,125,,,,,,,,,Persian Mask ,5,A silken mask that evokes a mysterious feeling.,11,
,346,1,111,1300,,1,34,,,0|0|0,0|0,0|0,20,5,,,,,,,,,Persian Mask ,5,A silken mask that evokes a mysterious feeling.,11,
,347,1,111,1300,,1,34,,,0|0|0,0|0,0|0,21,10,,,,,,,,,Persian Mask ,5,A silken mask that evokes a mysterious feeling.,11,
,348,1,111,1300,,1,34,,,0|0|0,0|0,0|0,19,9,,,,,,,,,Persian Mask ,5,A silken mask that evokes a mysterious feeling.,11,
,351,1,111,1400,,2,35,,,0|0|0,0|0,0|0,,,,,,,,,,,Wicked Mask,6,You cant trust the intentions of anyone who wears this mask,11,
,352,1,111,1400,,2,35,,,0|0|0,0|0,0|0,24,5,,,,,,,,,Wicked Mask,6,You cant trust the intentions of anyone who wears this mask,11,
,353,1,111,1400,,2,35,,,0|0|0,0|0,0|0,38,175,,,,,,,,,Wicked Mask,6,You cant trust the intentions of anyone who wears this mask,11,
,354,1,111,1400,,2,35,,,0|0|0,0|0,0|0,,,,,,,,,,,Wicked Mask,6,You cant trust the intentions of anyone who wears this mask,11,
,355,1,111,1400,,2,35,,,0|0|0,0|0,0|0,39,75,,,,,,,,,Wicked Mask,6,You cant trust the intentions of anyone who wears this mask,11,
,356,1,111,1400,,2,35,,,0|0|0,31|70,0|0,15,3,26,15,,,,,,,Wicked Mask,6,You cant trust the intentions of anyone who wears this mask,11,
,357,1,111,1400,,2,35,,,0|0|0,0|0,0|0,,,,,,,,,,,Wicked Mask,6,You cant trust the intentions of anyone who wears this mask,11,
,358,1,111,1400,,2,35,,,0|0|0,0|0,0|0,19,10,,,,,,,,,Wicked Mask,6,You cant trust the intentions of anyone who wears this mask,11,
,361,1,111,1500,,3,36,,,0|0|0,0|0,0|0,12,-5,24,-10,,,,,,,Jolly Front Mask,7,An innocuously dopey mask that conceals your true intentions once you put it on.,11,
,362,1,111,1500,,3,36,,,0|0|0,0|0,0|0,24,6,,,,,,,,,Jolly Front Mask,7,An innocuously dopey mask that conceals your true intentions once you put it on.,11,
,363,1,111,1500,,3,36,,,0|0|0,31|70,0|0,38,500,25,300,,,,,,,Jolly Front Mask,41,An innocuously dopey mask that conceals your true intentions once you put it on.,11,
,364,1,111,1500,,3,36,,,0|0|0,0|0,0|0,22,5,23,5,,,,,,,Jolly Front Mask,42,An innocuously dopey mask that conceals your true intentions once you put it on.,11,
,365,1,111,1500,,3,36,,,0|0|0,0|0,0|0,39,75,,,,,,,,,Jolly Front Mask,7,An innocuously dopey mask that conceals your true intentions once you put it on.,11,
,366,1,111,1500,,3,36,,,0|0|0,0|0,0|0,20,10,,,,,,,,,Jolly Front Mask,7,An innocuously dopey mask that conceals your true intentions once you put it on.,11,
,367,1,111,1500,,3,36,,,0|0|0,0|0,0|0,12,2,,,,,,,,,Jolly Front Mask,7,An innocuously dopey mask that conceals your true intentions once you put it on.,11,
,368,1,111,1500,,3,36,,,0|0|0,0|0,0|0,19,10,,,,,,,,,Jolly Front Mask,7,An innocuously dopey mask that conceals your true intentions once you put it on.,11,
,371,1,111,1600,,10,37,,,0|0|0,0|0,0|0,,,,,,,,,,,Iron Mask,8,Iron mask that covers half of the face when worn.,11,
,372,1,111,1600,,10,37,,,0|0|0,0|0,0|0,24,6,,,,,,,,,Iron Mask,8,Iron mask that covers half of the face when worn.,11,
,373,1,111,1600,,10,37,,,0|0|0,0|0,0|0,38,200,,,,,,,,,Iron Mask,8,Iron mask that covers half of the face when worn.,11,
,374,1,111,1600,,10,37,,,0|0|0,0|0,0|0,,,,,,,,,,,Iron Mask,8,Iron mask that covers half of the face when worn.,11,
,375,1,111,1600,,10,37,,,0|0|0,0|0,0|0,39,175,,,,,,,,,Iron Mask,8,Iron mask that covers half of the face when worn.,11,
,376,1,111,1600,,10,37,,,0|0|0,0|0,0|0,,,,,,,,,,,Iron Mask,8,Iron mask that covers half of the face when worn.,11,
,377,1,111,1600,,10,37,,,0|0|0,0|0,0|0,,,,,,,,,,,Iron Mask,8,Iron mask that covers half of the face when worn.,11,
,378,1,111,1600,,10,37,,,0|0|0,31|70,0|0,10,3,19,15,,,,,,,Iron Mask,8,Iron mask that covers half of the face when worn.,11,
,381,1,111,1700,,5,38,,,0|0|0,0|0,0|0,,,,,,,,,,,Totem Mask,9,A mask that is the standard for use in totem ceremonies.,11,
,382,1,111,1700,,5,38,,,0|0|0,0|0,0|0,24,6,,,,,,,,,Totem Mask,9,A mask that is the standard for use in totem ceremonies.,11,
,383,1,111,1700,,5,38,,,0|0|0,0|0,0|0,38,225,,,,,,,,,Totem Mask,9,A mask that is the standard for use in totem ceremonies.,11,
,384,1,111,1700,,5,38,,,0|0|0,0|0,0|0,,,,,,,,,,,Totem Mask,9,A mask that is the standard for use in totem ceremonies.,11,
,385,1,111,1700,,5,38,,,0|0|0,0|0,0|0,39,100,,,,,,,,,Totem Mask,9,A mask that is the standard for use in totem ceremonies.,11,
,386,1,111,1700,,5,38,,,0|0|0,0|0,0|0,,,,,,,,,,,Totem Mask,9,A mask that is the standard for use in totem ceremonies.,11,
,387,1,111,1700,,5,38,,,0|0|0,31|70,0|0,23,20,,,,,,,,,Totem Mask,9,A mask that is the standard for use in totem ceremonies.,11,
,388,1,111,1700,,5,38,,,0|0|0,0|0,0|0,19,10,,,,,,,,,Totem Mask,9,A mask that is the standard for use in totem ceremonies.,11,
,391,1,111,1800,,5,40,,,0|0|0,31|70,0|0,18,10,,,,,,,,,Ashura Mask,11,A mask of a face that is half man and half woman.,11,
,392,1,111,1800,,5,40,,,0|0|0,0|0,0|0,24,7,,,,,,,,,Ashura Mask,11,A mask of a face that is half man and half woman.,11,
,393,1,111,1800,,5,40,,,0|0|0,0|0,0|0,38,250,,,,,,,,,Ashura Mask,11,A mask of a face that is half man and half woman.,11,
,394,1,111,1800,,5,40,,,0|0|0,0|0,0|0,,,,,,,,,,,Ashura Mask,11,A mask of a face that is half man and half woman.,11,
,395,1,111,1800,,5,40,,,0|0|0,0|0,0|0,39,125,,,,,,,,,Ashura Mask,11,A mask of a face that is half man and half woman.,11,
,396,1,111,1800,,5,40,,,0|0|0,0|0,0|0,,,,,,,,,,,Ashura Mask,11,A mask of a face that is half man and half woman.,11,
,397,1,111,1800,,5,40,,,0|0|0,0|0,0|0,,,,,,,,,,,Ashura Mask,11,A mask of a face that is half man and half woman.,11,
,398,1,111,1800,,5,40,,,0|0|0,0|0,0|0,19,10,,,,,,,,,Ashura Mask,11,A mask of a face that is half man and half woman.,11,
,401,1,111,1900,,2,42,,,0|0|0,0|0,0|0,,,,,,,,,,,Mask of Lies,14,A mask of an insincerely weeping face.,11,
,402,1,111,1900,,2,42,,,0|0|0,31|70,0|0,24,10,26,10,,,,,,,Mask of Lies,14,A mask of an insincerely weeping face.,11,
,403,1,111,1900,,2,42,,,0|0|0,0|0,0|0,38,275,,,,,,,,,Mask of Lies,14,A mask of an insincerely weeping face.,11,
,404,1,111,1900,,2,42,,,0|0|0,0|0,0|0,,,,,,,,,,,Mask of Lies,14,A mask of an insincerely weeping face.,11,
,405,1,111,1900,,2,42,,,0|0|0,0|0,0|0,39,125,,,,,,,,,Mask of Lies,14,A mask of an insincerely weeping face.,11,
,406,1,111,1900,,2,42,,,0|0|0,0|0,0|0,,,,,,,,,,,Mask of Lies,14,A mask of an insincerely weeping face.,11,
,407,1,111,1900,,2,42,,,0|0|0,0|0,0|0,,,,,,,,,,,Mask of Lies,14,A mask of an insincerely weeping face.,11,
,408,1,111,1900,,2,42,,,0|0|0,0|0,0|0,19,10,,,,,,,,,Mask of Lies,14,A mask of an insincerely weeping face.,11,
,411,1,111,2000,,5,45,,,0|0|0,31|70,0|0,18,5,22,10,,,,,,,Ego Mask,65,A mask that expresses the idea that mankind is both good and evil.,11,
,412,1,111,2000,,5,45,,,0|0|0,0|0,0|0,24,7,,,,,,,,,Ego Mask,65,A mask that expresses the idea that mankind is both good and evil.,11,
,413,1,111,2000,,5,45,,,0|0|0,0|0,0|0,38,300,,,,,,,,,Ego Mask,65,A mask that expresses the idea that mankind is both good and evil.,11,
,414,1,111,2000,,5,45,,,0|0|0,0|0,0|0,,,,,,,,,,,Ego Mask,65,A mask that expresses the idea that mankind is both good and evil.,11,
,415,1,111,2000,,5,45,,,0|0|0,0|0,0|0,39,150,,,,,,,,,Ego Mask,65,A mask that expresses the idea that mankind is both good and evil.,11,
,416,1,111,2000,,5,45,,,0|0|0,0|0,0|0,,,,,,,,,,,Ego Mask,65,A mask that expresses the idea that mankind is both good and evil.,11,
,417,1,111,2000,,5,45,,,0|0|0,0|0,0|0,,,,,,,,,,,Ego Mask,65,A mask that expresses the idea that mankind is both good and evil.,11,
,418,1,111,2000,,5,45,,,0|0|0,31|70,0|0,19,25,,,,,,,,,Ego Mask,65,A mask that expresses the idea that mankind is both good and evil.,11,
,421,1,112,1000,,2,30,,,0|0|0,0|0,0|0,,,,,,,,,,,Glasses Frame,26,A glasses frame without any lenses.,11,
,422,1,112,1000,,2,30,,,0|0|0,0|0,0|0,24,5,,,,,,,,,Glasses Frame,26,A glasses frame without any lenses.,11,
,423,1,112,1000,,2,30,,,0|0|0,0|0,0|0,38,50,,,,,,,,,Glasses Frame,26,A glasses frame without any lenses.,11,
,424,1,112,1000,,2,30,,,0|0|0,0|0,0|0,,,,,,,,,,,Glasses Frame,26,A glasses frame without any lenses.,11,
,425,1,112,1000,,2,30,,,0|0|0,0|0,0|0,39,25,,,,,,,,,Glasses Frame,26,A glasses frame without any lenses.,11,
,426,1,112,1000,,2,30,,,0|0|0,0|0,0|0,,,,,,,,,,,Glasses Frame,26,A glasses frame without any lenses.,11,
,427,1,112,1000,,2,30,,,0|0|0,31|70,0|0,12,3,27,5,,,,,,,Glasses Frame,26,A glasses frame without any lenses.,11,
,428,1,112,1000,,2,30,,,0|0|0,0|0,0|0,19,5,,,,,,,,,Glasses Frame,26,A glasses frame without any lenses.,11,
,431,1,112,1100,,2,31,,,0|0|0,0|0,0|0,,,,,,,,,,,Dork Glasses,27,A pair of thick glasses usually worn by diligent students.,11,
,432,1,112,1100,,2,31,,,0|0|0,0|0,0|0,24,5,,,,,,,,,Dork Glasses,27,A pair of thick glasses usually worn by diligent students.,11,
